product,price,link
ASUS ROG STRIX Z790‑A GAMING WIFI DDR4,"2 049,00 zł",https://www.x-kom.pl/p/1075890-plyta-glowna-socket-1700-asus-rog-strix-z790-a-gaming-wifi-ddr4.html
ASUS ROG STRIX Z790‑E GAMING WIFI,"2 999,00 zł",https://www.x-kom.pl/p/1075888-plyta-glowna-socket-1700-asus-rog-strix-z790-e-gaming-wifi.html
ASUS ROG MAXIMUS Z790 APEX,"4 499,00 zł",https://www.x-kom.pl/p/1075882-plyta-glowna-socket-1700-asus-rog-maximus-z790-apex.html
MSI PRO Z790‑P WIFI,"1 199,00 zł",https://www.x-kom.pl/p/1072767-plyta-glowna-socket-1700-msi-pro-z790-p-wifi.html
MSI PRO B650M‑A WIFI,"999,00 zł",https://www.x-kom.pl/p/1072736-plyta-glowna-socket-am5-msi-pro-b650m-a-wifi.html
MSI MAG B650 TOMAHAWK WIFI,"1 349,00 zł",https://www.x-kom.pl/p/1072733-plyta-glowna-socket-am5-msi-mag-b650-tomahawk-wifi.html
MSI MPG B650 EDGE WIFI,"1 479,00 zł",https://www.x-kom.pl/p/1072728-plyta-glowna-socket-am5-msi-mpg-b650-edge-wifi.html
MSI MEG X670E ACE,"4 099,00 zł",https://www.x-kom.pl/p/1072715-plyta-glowna-socket-am5-msi-meg-x670e-ace.html
ASUS TUF GAMING Z790‑PLUS WIFI,"1 799,00 zł",https://www.x-kom.pl/p/1070737-plyta-glowna-socket-1700-asus-tuf-gaming-z790-plus-wifi.html
Gigabyte B650 AORUS PRO AX,"1 619,00 zł",https://www.x-kom.pl/p/1070728-plyta-glowna-socket-am5-gigabyte-b650-aorus-pro-ax.html
Gigabyte Z790 AORUS ELITE AX DDR4,"1 459,00 zł",https://www.x-kom.pl/p/1070723-plyta-glowna-socket-1700-gigabyte-z790-aorus-elite-ax-ddr4.html
NZXT N7 Z590 White WI‑FI,"1 099,00 zł",https://www.x-kom.pl/p/1065859-plyta-glowna-socket-1200-nzxt-n7-z590-white-wi-fi.html
NZXT N7 Z590 Black WI‑FI,"1 099,00 zł",https://www.x-kom.pl/p/1065858-plyta-glowna-socket-1200-nzxt-n7-z590-black-wi-fi.html
ASRock X670E Steel Legend,"1 659,00 zł",https://www.x-kom.pl/p/1062400-plyta-glowna-socket-am5-asrock-x670e-steel-legend.html
ASRock H510M‑HDV R2.0,"319,00 zł",https://www.x-kom.pl/p/1044295-plyta-glowna-socket-1200-asrock-h510m-hdv-r20.html
ASRock H510M‑HVS R2.0,"309,00 zł",https://www.x-kom.pl/p/1044293-plyta-glowna-socket-1200-asrock-h510m-hvs-r20.html
ASRock Z690M PG RIPTIDE DDR5,"949,00 zł",https://www.x-kom.pl/p/1044284-plyta-glowna-socket-1700-asrock-z690m-pg-riptide-ddr5.html
ASRock B550 PG RIPTIDE,"719,00 zł",https://www.x-kom.pl/p/1044276-plyta-glowna-socket-am4-asrock-b550-pg-riptide.html
Biostar B550M SILVER,"649,00 zł",https://www.x-kom.pl/p/748695-plyta-glowna-socket-am4-biostar-b550m-silver.html
Biostar B550MX/E PRO,"469,00 zł",https://www.x-kom.pl/p/748662-plyta-glowna-socket-am4-biostar-b550mx-e-pro.html
ASUS TUF GAMING Z690‑PLUS DDR5,"1 539,00 zł",https://www.x-kom.pl/p/720497-plyta-glowna-socket-1700-asus-tuf-gaming-z690-plus-ddr5.html
ASRock B660 Steel Legend DDR4,"789,00 zł",https://www.x-kom.pl/p/711297-plyta-glowna-socket-1700-asrock-b660-steel-legend-ddr4.html
ASRock H610M‑HDV/M.2 DDR4,"429,00 zł",https://www.x-kom.pl/p/711291-plyta-glowna-socket-1700-asrock-h610m-hdv-m2-ddr4.html
